relation_id,source_filing_id,source_ein,target_id,target_ein,target_name_hash,target_kind,tax_year,relation_type,amount,title,metadata_json
rel:33e7f3609968e833dcd0e722,910564748-2021,910564748,filing:910564748-2020,,,filing,2021,derived_temporal_predecessor,0,prior-year filing,"{""derived"": true, ""method"": ""same EIN, immediately preceding available tax year""}"
rel:e1f820dfd17a59ddb5b9f638,910564748-2022,910564748,filing:910564748-2021,,,filing,2022,derived_temporal_predecessor,0,prior-year filing,"{""derived"": true, ""method"": ""same EIN, immediately preceding available tax year""}"
rel:9c3c7c8e2b66bb8ff163b3cb,910564748-2023,910564748,filing:910564748-2022,,,filing,2023,derived_temporal_predecessor,0,prior-year filing,"{""derived"": true, ""method"": ""same EIN, immediately preceding available tax year""}"
rel:ee7f7a8ef0dc2a297fc265a4,910564748-2024,910564748,filing:910564748-2023,,,filing,2024,derived_temporal_predecessor,0,prior-year filing,"{""derived"": true, ""method"": ""same EIN, immediately preceding available tax year""}"
rel:7056ba721d2aa831f1cddb81,911935159-2022,911935159,filing:911935159-2021,,,filing,2022,derived_temporal_predecessor,0,prior-year filing,"{""derived"": true, ""method"": ""same EIN, immediately preceding available tax year""}"
rel:1fe04c2f9d0871bc8dda84ab,911935159-2023,911935159,filing:911935159-2022,,,filing,2023,derived_temporal_predecessor,0,prior-year filing,"{""derived"": true, ""method"": ""same EIN, immediately preceding available tax year""}"
rel:7f57b31d26d378b18ab5fd7b,911935159-2024,911935159,filing:911935159-2023,,,filing,2024,derived_temporal_predecessor,0,prior-year filing,"{""derived"": true, ""method"": ""same EIN, immediately preceding available tax year""}"
rel:c07f1c62a7ba653373610a6a,911935159-2025,911935159,filing:911935159-2024,,,filing,2025,derived_temporal_predecessor,0,prior-year filing,"{""derived"": true, ""method"": ""same EIN, immediately preceding available tax year""}"
rel:c1234729419f5d1cb8593fdb,910565006-2022,910565006,filing:910565006-2021,,,filing,2022,derived_temporal_predecessor,0,prior-year filing,"{""derived"": true, ""method"": ""same EIN, immediately preceding available tax year""}"
rel:8569c33687cd48bcac74ed3e,910565006-2023,910565006,filing:910565006-2022,,,filing,2023,derived_temporal_predecessor,0,prior-year filing,"{""derived"": true, ""method"": ""same EIN, immediately preceding available tax year""}"
rel:75e353481205b354eb699535,910565006-2024,910565006,filing:910565006-2023,,,filing,2024,derived_temporal_predecessor,0,prior-year filing,"{""derived"": true, ""method"": ""same EIN, immediately preceding available tax year""}"
rel:4085e7c97caa8df7f55318f5,910565006-2025,910565006,filing:910565006-2024,,,filing,2025,derived_temporal_predecessor,0,prior-year filing,"{""derived"": true, ""method"": ""same EIN, immediately preceding available tax year""}"
rel:64e63202cd54414ee75e8a56,910564748-2021,910564748,org:911935159,911935159,,organization,2021,derived_peer_same_sector,0,same-sector analytical peer,"{""derived"": true, ""method"": ""same state and broad NTEE sector; not a disclosed legal relationship""}"
rel:1ec87c3fc72b39dcfb2323fa,911935159-2021,911935159,org:910564748,910564748,,organization,2021,derived_peer_same_sector,0,same-sector analytical peer,"{""derived"": true, ""method"": ""same state and broad NTEE sector; not a disclosed legal relationship""}"
rel:b0881f3b0ee014f49b61630b,910564748-2022,910564748,org:911935159,911935159,,organization,2022,derived_peer_same_sector,0,same-sector analytical peer,"{""derived"": true, ""method"": ""same state and broad NTEE sector; not a disclosed legal relationship""}"
rel:699f39b97f58c872f90a3c2e,911935159-2022,911935159,org:910564748,910564748,,organization,2022,derived_peer_same_sector,0,same-sector analytical peer,"{""derived"": true, ""method"": ""same state and broad NTEE sector; not a disclosed legal relationship""}"
rel:e720745a16a7aebadd6d1121,910564748-2023,910564748,org:911935159,911935159,,organization,2023,derived_peer_same_sector,0,same-sector analytical peer,"{""derived"": true, ""method"": ""same state and broad NTEE sector; not a disclosed legal relationship""}"
rel:82263577ffe7d02db7c3731b,911935159-2023,911935159,org:910564748,910564748,,organization,2023,derived_peer_same_sector,0,same-sector analytical peer,"{""derived"": true, ""method"": ""same state and broad NTEE sector; not a disclosed legal relationship""}"
rel:3f2ad3587eba4d152871d481,910564748-2024,910564748,org:911935159,911935159,,organization,2024,derived_peer_same_sector,0,same-sector analytical peer,"{""derived"": true, ""method"": ""same state and broad NTEE sector; not a disclosed legal relationship""}"
rel:756c32b0d2eda45131ca5a23,911935159-2024,911935159,org:910564748,910564748,,organization,2024,derived_peer_same_sector,0,same-sector analytical peer,"{""derived"": true, ""method"": ""same state and broad NTEE sector; not a disclosed legal relationship""}"
